#	Sample ID	User name	Date and Time	Nucleic Acid	Unit	A260 (Abs)	A280 (Abs)	260/280	260/230	Sample Type	Factor
2	E2_10	Imaging	1/11/2025 3:40:15 PM	165.2	ng/µl	4.130	2.114	1.95	1.84	RNA	40.00
3	C1_11	Imaging	1/11/2025 3:41:02 PM	254.6	ng/µl	6.364	3.227	1.97	2.00	RNA	40.00
4	C2_11	Imaging	1/11/2025 3:41:44 PM	273.3	ng/µl	6.831	3.485	1.96	1.97	RNA	40.00
5	E2_11	Imaging	1/11/2025 3:42:23 PM	250.3	ng/µl	6.257	3.194	1.96	1.99	RNA	40.00
6	E3_10	Imaging	1/11/2025 3:43:00 PM	146.3	ng/µl	3.658	1.889	1.94	1.85	RNA	40.00
7	E1_11	Imaging	1/11/2025 3:43:50 PM	264.1	ng/µl	6.602	3.372	1.96	1.87	RNA	40.00
8	C1_10	Imaging	1/11/2025 3:44:36 PM	135.0	ng/µl	3.375	1.743	1.94	1.77	RNA	40.00
9	C2_10	Imaging	1/11/2025 3:45:20 PM	202.3	ng/µl	5.057	2.588	1.95	1.92	RNA	40.00
10	C3_10	Imaging	1/11/2025 3:46:06 PM	197.3	ng/µl	4.933	2.536	1.95	1.97	RNA	40.00
11	E1_10	Imaging	1/11/2025 3:46:49 PM	142.3	ng/µl	3.558	1.855	1.92	1.80	RNA	40.00
