#	Sample ID	User name	Date and Time	Nucleic Acid	Unit	A260 (Abs)	A280 (Abs)	260/280	260/230	Sample Type	Factor
4	G-C1	Imaging	2/10/2025 11:11:33 AM	168.4	ng/µl	4.210	2.228	1.89	2.02	RNA	40.00
5	G-C2	Imaging	2/10/2025 11:12:11 AM	180.8	ng/µl	4.520	2.386	1.89	2.04	RNA	40.00
6	G-C3	Imaging	2/10/2025 11:12:39 AM	151.8	ng/µl	3.795	1.996	1.90	1.90	RNA	40.00
7	G-E1	Imaging	2/10/2025 11:13:02 AM	143.8	ng/µl	3.594	1.904	1.89	1.96	RNA	40.00
8	G-E2	Imaging	2/10/2025 11:13:27 AM	188.2	ng/µl	4.706	2.452	1.92	1.95	RNA	40.00
9	G-E3	Imaging	2/10/2025 11:13:49 AM	125.6	ng/µl	3.140	1.668	1.88	1.97	RNA	40.00
10	A-C1	Imaging	2/10/2025 11:14:16 AM	224.2	ng/µl	5.605	2.938	1.91	2.01	RNA	40.00
11	A-C2	Imaging	2/10/2025 11:14:38 AM	237.8	ng/µl	5.946	3.111	1.91	2.00	RNA	40.00
12	A-C3	Imaging	2/10/2025 11:15:01 AM	229.1	ng/µl	5.727	2.992	1.91	2.05	RNA	40.00
13	A-E1	Imaging	2/10/2025 11:15:21 AM	165.6	ng/µl	4.140	2.181	1.90	1.95	RNA	40.00
14	A-E2	Imaging	2/10/2025 11:15:41 AM	216.8	ng/µl	5.419	2.811	1.93	2.07	RNA	40.00
15	A-E3	Imaging	2/10/2025 11:16:05 AM	172.2	ng/µl	4.306	2.241	1.92	2.00	RNA	40.00
