N_unmapped	352766	352766	352766
N_multimapping	3159229	3159229	3159229
N_noFeature	3320447	26128995	3577060
N_ambiguous	1175949	27991	409415
DDX11L1	0	0	0
WASH7P	101	0	101
MIR6859-1	0	0	0
MIR1302-2HG	0	0	0
MIR1302-2	0	0	0
FAM138A	0	0	0
OR4F5	0	0	0
LOC124903816	0	0	0
LOC124900384	23	0	23
LOC729737	108	2	106
LOC124903814	0	0	0
DDX11L17	0	0	0
WASH9P	134	0	134
MIR6859-2	0	0	0
LOC127239154	75	0	75
LOC124903815	0	0	0
LOC124900618	0	0	0
LOC112268260	0	0	0
OR4F29	0	0	0
LOC100132287	6	0	6
LOC124904706	0	0	0
LOC105378947	3	3	0
LOC101928626	0	0	0
MIR12136	73	72	1
OR4F16	0	0	0
LOC100288069	40	4	36
LINC01409	32	1	31
LOC124903817	20	18	2
FAM87B	49	13	36
LINC00115	73	10	66
LINC01128	2350	21	2332
LOC107984850	22	0	23
FAM41C	12	4	9
LOC284600	1001	728	1023
LINC02593	212	100	539
LOC107985728	472	73	726
SAMD11	2541	330	3156
NOC2L	2331	674	2598
KLHL17	814	3	811
PLEKHN1	9	4	7
PERM1	0	0	2
HES4	232	4	228
ISG15	66	9	57
AGRN	8363	4	8359
LOC100288175	104	26	107
LOC105378948	25	28	26
RNF223	9	0	9
C1orf159	335	5	330
LOC124903819	25	1	24
LOC124903820	3	3	0
LINC01342	0	0	0
LOC124903818	1	3	0
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
TTLL10-AS1	2	0	2
TTLL10	4	0	4
TNFRSF18	6	0	6
TNFRSF4	0	0	0
SDF4	1510	8	1502
B3GALT6	772	18	754
C1QTNF12	33	7	26
UBE2J2	1120	27	1093
LINC01786	118	0	118
SCNN1D	165	2	163
ACAP3	4258	0	4258
MIR6726	0	0	0
SNORD167	22	0	22
PUSL1	287	22	315
INTS11	1592	401	1241
MIR6727	0	0	0
CPTP	529	6	523
TAS1R3	57	20	48
DVL1	1968	5	1974
MIR6808	0	0	0
MXRA8	122	48	74
AURKAIP1	890	0	892
CCNL2	4352	53	4299
MRPL20-AS1	517	137	535
MRPL20	645	41	759
MRPL20-DT	226	4	225
ANKRD65	78	0	78
ANKRD65-AS1	27	27	0
TMEM88B	64	17	47
LINC01770	4	1	15
LOC107985729	19	17	14
VWA1	976	6	970
ATAD3C	71	5	66
ATAD3B	580	44	536
ATAD3A	379	44	335
TMEM240	119	2	117
SSU72	1669	21	1648
FNDC10	642	2	662
LOC105378586	55	30	47
MIB2	816	563	1261
LOC124903821	87	1089	6
MMP23B	3	0	3
CDK11B	618	23	595
SLC35E2B	3246	47	3202
MMP23A	0	0	0
CDK11A	286	1	285
SLC35E2A	1211	5	1212
LOC112268218	0	70	2
NADK	1084	9	1140
GNB1	31182	60	31122
GNB1-DT	24	3	21
LOC124903822	8	2	6
CALML6	4	0	4
TMEM52	31	0	31
CFAP74	37	1	36
LOC107984872	1	0	1
LOC105378589	24	8	16
GABRD	144	0	144
LOC105378590	2	2	0
PRKCZ	2178	126	3034
PRKCZ-DT	0	0	0
PRKCZ-AS1	91	48	53
FAAP20	363	938	456
LOC112268219	105	121	43
LOC105378593	2	0	2
LOC124903823	3	0	3
SKI	1608	42	1566
LOC124903824	19	2	17
MORN1	95	1	94
LOC100129534	27	0	27
RER1	890	152	1504
PEX10	191	616	341
PLCH2	23	3	20
PANK4	0	0	0
HES5	0	0	0
TNFRSF14-AS1	0	0	0
TNFRSF14	0	0	0
LOC100996583	0	0	0
PRXL2B	0	0	0
MMEL1	0	0	0
MMEL1-AS1	0	0	0
TTC34	4	0	4
LOC105378602	0	0	0
LOC105378601	0	0	0
LOC112268220	0	0	0
LOC107985732	0	0	0
LOC105378600	0	0	0
LOC105378598	0	0	0
